session_id,level,kind,start_after_peak_s,end_after_peak_s,center_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
24,5,fall_simulation,4,5,4.5,10,10.026599999999998,1.4623000000000002,6.411346000000001e-06,8.259996450000001e-05
24,5,fall_simulation,5,6,5.5,10,10.0321,1.4503000000000001,9.617042e-06,9.0499952e-05
24,5,fall_simulation,6,7,6.5,10,10.0393,1.4436,0.000118610138,0.000108299659
24,5,fall_simulation,7,8,7.5,10,10.051999999999998,1.45,3.205678e-06,7.7633313e-05
24,5,fall_simulation,8,9,8.5,10,10.043000000000001,1.4529,3.205668e-06,8.296654e-05
24,5,fall_simulation,9,10,9.5,10,10.042,1.4583999999999997,3.205678e-06,6.3733171e-05
25,5,fall_simulation,-5,-4,-4.5,10,9.976600000000001,15.031299999999998,0.0100465902,5.79551486
25,5,fall_simulation,-4,-3,-3.5,10,9.8751,11.2747,0.021404327940000002,9.580997919999998
25,5,fall_simulation,-3,-2,-2.5,10,10.000499999999999,12.1683,0.00841170557,6.7118169
25,5,fall_simulation,-2,-1,-1.5,10,9.806700000000001,15.504300000000004,0.0474183945,15.28619516
25,5,fall_simulation,-1,0,-0.5,9,10.632666666666665,46.02022222222222,4.354804479555556,797.9866456222222
25,5,fall_simulation,0,1,0.5,10,9.764599999999998,67.1288,5.20711013,1557.9125099999999
25,5,fall_simulation,1,2,1.5,10,9.6473,12.839000000000002,0.048460262399999995,7.93237785
25,5,fall_simulation,2,3,2.5,10,10.0128,2.0235999999999996,0.00016990080400000002,0.023650559800000002
25,5,fall_simulation,3,4,3.5,10,10.041,1.468,1.9234065e-05,0.000163033353
25,5,fall_simulation,4,5,4.5,10,10.042,1.4456000000000002,3.205679e-06,7.4766587e-05
25,5,fall_simulation,5,6,5.5,10,10.042,1.4552,0.0,8.1966633e-05
25,5,fall_simulation,6,7,6.5,10,10.042,1.4541,0.0,5.9433278e-05
25,5,fall_simulation,7,8,7.5,10,10.042,1.4443,6.411358e-06,9.71334e-05
25,5,fall_simulation,8,9,8.5,10,10.038,1.4566,3.205668e-06,6.456673399999999e-05
25,5,fall_simulation,9,10,9.5,10,10.032,1.451,0.0,8.830005300000001e-05
26,6,fall_simulation,-5,-4,-4.5,10,10.080299999999998,18.0311,0.07781465200000001,28.7859906
26,6,fall_simulation,-4,-3,-3.5,10,10.020499999999998,13.631099999999998,0.08203971909999999,29.887017000000004
26,6,fall_simulation,-3,-2,-2.5,10,10.0099,15.150099999999998,0.098786179,30.7760647
26,6,fall_simulation,-2,-1,-1.5,10,10.112599999999999,17.809500000000003,0.09584337899999999,30.2275744
26,6,fall_simulation,-1,0,-0.5,9,10.840666666666667,43.919666666666664,4.980764208888889,809.3798099999999
26,6,fall_simulation,0,1,0.5,10,7.2101,69.7157,5.31159914,1280.090196
26,6,fall_simulation,1,2,1.5,10,9.5068,10.7745,0.02427018751,5.193174789999999
26,6,fall_simulation,2,3,2.5,10,10.001199999999999,1.9780000000000002,8.9758812e-05,0.016457236539999996
26,6,fall_simulation,3,4,3.5,10,10.030199999999999,1.4766,3.205668e-06,0.0001395335134
26,6,fall_simulation,4,5,4.5,10,10.032,1.4502000000000002,3.205679e-06,7.6199948e-05
26,6,fall_simulation,5,6,5.5,10,10.032,1.4450000000000003,0.0,6.5866768e-05
26,6,fall_simulation,6,7,6.5,10,10.032,1.4661,0.0,5.1499970499999994e-05
26,6,fall_simulation,7,8,7.5,10,10.032,1.4603,0.0,7.980000509999999e-05
26,6,fall_simulation,8,9,8.5,10,10.039,1.4504,3.205668e-06,5.15665523e-05
26,6,fall_simulation,9,10,9.5,10,10.042,1.4571,0.0,4.24000058e-05
27,6,fall_simulation,-5,-4,-4.5,10,9.9655,21.058,0.0354612249,38.8787782
27,6,fall_simulation,-4,-3,-3.5,10,9.923399999999999,17.1411,0.0318099281,38.8849286
27,6,fall_simulation,-3,-2,-2.5,10,10.1167,21.7687,0.025725575,31.065617400000008
27,6,fall_simulation,-2,-1,-1.5,10,9.953100000000001,17.4901,0.023856659299999996,39.7934279
27,6,fall_simulation,-1,0,-0.5,9,10.515333333333334,36.19533333333334,3.561434432777778,529.0624303333334
27,6,fall_simulation,0,1,0.5,10,9.5896,42.2899,5.55429072108,732.2284900000001
27,6,fall_simulation,1,2,1.5,10,9.841299999999999,27.7906,0.095878663,18.7882266
27,6,fall_simulation,2,3,2.5,10,9.7464,16.9003,0.0599942962,40.10101409
27,6,fall_simulation,3,4,3.5,10,10.0175,2.4925,0.000195546345,0.1116420068
27,6,fall_simulation,4,5,4.5,10,10.042,1.4899,0.0,0.00039743365
27,6,fall_simulation,5,6,5.5,10,10.042,1.4460000000000002,0.0,8.426653300000001e-05
