session_id,level,start_s,end_s,samples,gyro_msd_mean,accel_msd_mean,gyro_magnitude_mean
3,1,27,28,10,7.2166909e-05,0.0,1.4263
3,1,28,29,10,7.5866792e-05,0.0,1.4199
4,1,0,1,10,8.8466738e-05,9.617025999999999e-06,1.4233999999999998
4,1,1,2,10,6.2566779e-05,0.0,1.4136
4,1,2,3,10,7.2166713e-05,6.4113479999999996e-06,1.4135000000000002
4,1,3,4,10,5.479999599999999e-05,6.411346999999999e-06,1.4013
4,1,4,5,10,8.669996999999999e-05,1.9234028000000002e-05,1.4187999999999998
4,1,5,6,10,6.846662400000002e-05,3.205668e-06,1.4164
4,1,6,7,10,5.9300046e-05,3.205679e-06,1.4320999999999997
4,1,7,8,10,6.0933355e-05,0.0,1.4224999999999999
4,1,8,9,10,6.516668700000001e-05,3.205668e-06,1.4325999999999999
4,1,9,10,10,9.1900227e-05,0.0,1.4448
4,1,10,11,10,9.1066808e-05,0.0,1.4341
4,1,11,12,10,8.1666658e-05,0.0,1.4422
4,1,12,13,10,4.9400097e-05,0.0,1.4329999999999998
4,1,13,14,10,7.276644249999998e-05,0.0,1.4241000000000001
4,1,14,15,10,8.3733449e-05,0.0,1.4377
4,1,15,16,10,6.9700009e-05,0.0,1.4221
4,1,16,17,10,7.5533434e-05,0.0,1.4232
4,1,17,18,10,6.3500069e-05,0.0,1.4364000000000001
4,1,18,19,10,9.5866679e-05,0.0,1.4456
4,1,19,20,9,6.799997888888889e-05,0.0,1.4405555555555556
4,1,20,21,10,8.833335100000002e-05,3.205679e-06,1.4361
4,1,21,22,10,6.9933174e-05,3.205679e-06,1.4192
4,1,22,23,10,7.8866571e-05,0.0,1.4264
4,1,23,24,10,8.4600128e-05,0.0,1.4379000000000002
4,1,24,25,10,5.113338099999999e-05,0.0,1.4300000000000002
4,1,25,26,10,5.06334749e-05,0.0,1.4529
4,1,26,27,10,8.8199863e-05,0.0,1.437
4,1,27,28,10,5.1399974e-05,0.0,1.4119
4,1,28,29,10,5.02333003e-05,0.0,1.4152
5,1,0,1,10,5.780005199999999e-05,6.411336e-06,1.4064
5,1,1,2,10,6.7900057e-05,3.205668e-06,1.4080999999999997
5,1,2,3,10,6.706679899999999e-05,1.2822703e-05,1.4218
5,1,3,4,10,7.5933562e-05,3.205679e-06,1.4328999999999998
5,1,4,5,10,8.8999878e-05,0.0,1.4298
5,1,5,6,10,6.993330200000001e-05,0.0,1.4377
