session_id,level,activity,notes,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_median,accel_magnitude_mps2_p95,accel_magnitude_mps2_max,accel_magnitude_mps2_sd,gyro_magnitude_dps_mean,gyro_magnitude_dps_median,gyro_magnitude_dps_p95,gyro_magnitude_dps_max,gyro_magnitude_dps_sd,accel_msd_mean,accel_msd_median,accel_msd_p95,accel_msd_max,accel_msd_sd,gyro_msd_mean,gyro_msd_median,gyro_msd_p95,gyro_msd_max,gyro_msd_sd,accel_magnitude_slope_mean,accel_magnitude_slope_median,accel_magnitude_slope_p95,accel_magnitude_slope_max,accel_magnitude_slope_sd,accel_magnitude_slope_abs_median,accel_magnitude_slope_abs_p95,gyro_magnitude_slope_mean,gyro_magnitude_slope_median,gyro_magnitude_slope_p95,gyro_magnitude_slope_max,gyro_magnitude_slope_sd,gyro_magnitude_slope_abs_median,gyro_magnitude_slope_abs_p95,accel_msd_slope_mean,accel_msd_slope_median,accel_msd_slope_p95,accel_msd_slope_max,accel_msd_slope_sd,accel_msd_slope_abs_median,accel_msd_slope_abs_p95,gyro_msd_slope_mean,gyro_msd_slope_median,gyro_msd_slope_p95,gyro_msd_slope_max,gyro_msd_slope_sd,gyro_msd_slope_abs_median,gyro_msd_slope_abs_p95,trimmed_gyro_msd_mean,trimmed_accel_magnitude_slope_abs_median
1,1,stationary,Trial 1 (level 1): grandma sitting still,299,10.0481872909699,10.052,10.052,10.052,0.005855995328713727,1.4167324414715718,1.416,1.436,1.447,0.011437571619049607,8.577041806020066e-07,0.0,0.0,3.205679e-05,5.172958900307102e-06,5.173351794280936e-05,3.633331e-05,0.00014170066999999998,0.0002296662,4.518383651998175e-05,0.0003270267748494983,0.0,0.019424653999999996,0.02941704,0.00760452399079111,0.0,0.0195526,-0.0012154447695652169,-0.005313754,0.05702559199999999,0.09345782,0.03311076660597576,0.0239571,0.06267240699999999,-8.413660582608693e-07,0.0,1.264499e-07,6.392129e-05,1.6842969831217778e-05,0.0,6.347808e-05,-1.721148861204013e-06,-8.991269e-06,0.00023746272999999925,0.0003351718,0.00013974506555828307,8.531387e-05,0.00029970467999999997,5.2929172852895755e-05,0.0
2,1,stationary,Trial 2 (level 1): grandma sitting still,300,10.050099999999999,10.052,10.052,10.052,0.003923009049186523,1.4277499999999999,1.428,1.446,1.458,0.011707013567373492,3.2056716666666666e-07,0.0,0.0,3.205679e-05,3.189603035826189e-06,6.418890244e-05,5.666671e-05,0.000144667205,0.0001830006,4.15494712835861e-05,1.7765640333333722e-06,0.0,0.0,0.02936106,0.004061619526264557,0.0,0.0,-0.00016590312900000007,0.00034457445,0.06320419050000003,0.1100035,0.03972838596092438,0.027498915,0.07218069050000002,-4.233972604666665e-07,0.0,0.0,6.411359e-05,1.2498533221355223e-05,0.0,6.698725300000072e-08,-1.4664772753333328e-06,-1.8574095000000002e-05,0.00024006016500000024,0.0004443335,0.00013469533440663546,8.4360685e-05,0.00028498260000000007,6.534616307307693e-05,0.0
3,1,stationary,Trial 3 (level 1): grandma sitting still,298,10.039872483221476,10.042,10.052,10.052,0.008786649872463357,1.4288422818791946,1.429,1.452,1.464,0.013682348797576056,1.2908737583892617e-06,0.0,0.0,3.205679e-05,6.301967597431015e-06,6.7097344852349e-05,5.800012e-05,0.00015214964999999997,0.0002406678,4.424892177525755e-05,-0.00016405901531208042,0.0,0.01947687,0.03897308,0.011258797134684171,0.0,0.029230788,0.0005031176926174495,-0.0022222739999999998,0.07209548999999998,0.1240371,0.04142399786521114,0.030248165,0.07685305399999999,-1.2644872454362418e-06,0.0,3.199181e-05,9.578647e-05,2.428964261212878e-05,0.0,6.347834199999999e-05,2.22676550248322e-06,2.519611e-06,0.00023091672999999967,0.0004514102,0.00014074703751550807,8.7125285e-05,0.00026863910999999993,6.671063206201551e-05,0.0
4,1,stationary,Trial 4 (level 1): grandma sitting still,298,10.053610738255033,10.052,10.062,10.072,0.003940346132371915,1.4286342281879194,1.43,1.453,1.47,0.01570396552241308,1.9363128187919463e-06,0.0,0.0,0.0001282267,1.0324753037805989e-05,7.133336045973154e-05,6.466689e-05,0.00014453335499999998,0.0001983338,4.0065531542420956e-05,0.0002619357027852349,0.0,9.9670251e-05,0.05852739,0.007784611868057422,0.0,0.0195191805,0.00025397725671140947,-0.002282483,0.070118691,0.1195835,0.039265235727888606,0.02678028,0.073408789,-1.804014085302013e-06,0.0,3.19925865e-05,0.0002549229,3.3732799735293906e-05,0.0,6.385692349999999e-05,-1.0624010375838929e-06,-9.8491415e-07,0.00018623598499999995,0.0003930899,0.00012002964974615103,8.696048e-05,0.00022963985999999972,7.229717703100773e-05,0.0
5,1,stationary,Trial 5 (level 1): grandma sitting still,299,10.045545150501672,10.042,10.052,10.062,0.007505213454041449,1.4338795986622075,1.434,1.456,1.463,0.014762972930226284,1.500983076923077e-06,0.0,0.0,6.411346e-05,7.262054435352343e-06,7.312821241137123e-05,6.766673e-05,0.00015389934999999991,0.0002090003,4.2021286301836124e-05,-0.0004920598149832777,0.0,0.019424653999999996,0.02934967,0.009306957579077667,0.0,0.029247807,0.0015232157322876258,0.0003514327,0.06926319699999994,0.09475094,0.04117703925670369,0.02795276,0.08096994399999997,-6.207773868561871e-07,0.0,3.199232e-05,0.0001282259,2.3305986904466116e-05,0.0,6.347808e-05,1.856875006688963e-06,1.649128e-06,0.0001853414399999996,0.0004422147,0.00012609511973134572,8.209923e-05,0.0002427985999999997,7.379794305405405e-05,0.0
6,2,walking-slowly,Trial 6 (level 2): grandma walking slowly,300,9.947613333333333,9.954,10.01505,10.108,0.052736361480692044,7.854876666666668,7.6975,14.262500000000003,16.469,3.79615733184522,0.004622801583533334,0.001442551,0.02303596350000001,0.07090961,0.009543681600167582,1.829588856796667,1.027721,7.0607925500000075,13.0611,2.268513019009038,-0.0021607064166666665,0.02355337,0.30933714000000007,0.4917793,0.22173725060614705,0.11597185,0.44200464000000006,-0.044343978166666694,4.1937795,16.097146000000002,20.29778,14.115990535110363,9.4517615,29.521610000000003,6.575656966666075e-06,-0.0002404236,0.059197704500000004,0.1499616,0.035850524472346386,0.005978572,0.08297257200000002,0.0695550295333334,0.026805370000000002,15.264719000000008,32.65156,8.351538768979683,3.608408,18.646249000000005,1.8554491446884613,0.1150098
7,2,walking-slowly,Trial 7 (level 2): grandma walking slowly,299,9.95936789297659,9.97,10.0221,10.086,0.05444501174200633,7.272481605351171,7.173,12.765799999999997,18.328,3.645214536744361,0.003233020841304348,0.0009617005,0.01357282499999993,0.1177446,0.008876846483074914,1.348543165541806,0.5188485,4.980397499999997,26.50046,2.2698076083194527,-0.0045898043290969895,0.02912426,0.28011931999999995,0.6293567,0.23221850328263158,0.09180641,0.4247596499999997,-0.6384011374581938,4.362047,11.893352999999998,22.25177,12.544679568280149,7.790197,25.890292999999993,-0.0037922733134615385,5.12415e-07,0.026139096999999983,0.2908596,0.05086594393789856,0.003526259,0.051628262999999994,-1.753258391100335,0.03008931,9.371534899999991,20.10648,18.117178868459423,2.135865,16.067089,1.1173433537722006,0.08795452
8,2,walking-slowly,Trial 8 (level 2): grandma walking slowly,300,9.94919,9.9535,10.00515,10.044,0.049243008640821276,6.058816666666667,5.699,10.921100000000001,32.94,3.3096213695409666,0.003039838709466667,0.00080141865,0.010932963,0.1378763,0.011831340579522317,1.3539016814166664,0.319073,3.2927896500000005,78.47056,6.020242767191729,0.007724002738233333,0.01832332,0.1776763950000001,0.8443098,0.14836687078533164,0.074819565,0.2717952450000002,-0.6107211311999998,2.6493965,11.479748500000003,57.90226,12.329931488782902,5.367290000000001,23.546765000000004,-0.0006938940193833335,-5.733724e-05,0.02255557400000001,0.2648102,0.03647782862054287,0.002786243,0.035111795000000015,-1.24210529829,-0.042918985,6.198867100000011,102.6338,17.61628288350947,1.586219,9.701340100000001,0.7013104443615386,0.071974165
9,2,walking-slowly,Trial 9 (level 2): grandma walking slowly,300,9.9595,9.967,10.02205,10.092,0.04558797356028598,5.780823333333333,5.7155000000000005,10.183650000000004,12.092,2.6237372376292223,0.0024460399576999997,0.001442551,0.008543133250000003,0.02394639,0.003369824513413603,0.9619913698733334,0.45800379999999996,3.425804900000001,10.4124,1.2827105745593903,0.005412078016999999,0.0250238,0.21989257500000006,0.3621168,0.16204408678363982,0.08442735500000001,0.35053284500000004,0.11158693863333342,1.5061,11.2023855,17.7614,8.62847648010124,5.6832840000000004,17.762137,0.0001728819149666666,-0.00017632225,0.01759143200000002,0.06707847,0.011244716245659456,0.0032697819999999997,0.0230296115,-0.017899905283333364,0.1124043,6.7147553,21.29483,4.312283514243753,1.931986,9.150232450000004,0.9922255885461538,0.088294505
10,2,walking-slowly,Trial 10 (level 2): grandma walking slowly,300,9.948446666666667,9.948,10.0301,10.084,0.047436348463552276,5.743133333333334,5.1185,10.74205,15.488,2.9237967032990206,0.0022951580758000002,0.001202128,0.009169837300000008,0.01907375,0.0032161146258055245,0.8900472588233334,0.59864425,2.6696413000000003,6.579716,1.0111169012723704,-0.00046783638133333363,0.028950145,0.23312969500000003,0.3608932,0.1720092918532344,0.10221105,0.38642015000000013,0.3232865171000001,1.859584,13.644749500000009,21.533,9.729088736902145,6.304648500000001,19.746584000000002,0.00012025863990211364,0.00025645444999999997,0.016472685000000032,0.04744407,0.010741885492571782,0.003788646,0.024515126500000012,0.0615523233566667,-0.059218734999999995,5.5024841,10.54228,3.220909232320512,1.4095879999999998,7.439527400000001,0.8734063959615386,0.09900331500000001
