trial_number,session_id,activity,N,amax,ap95,ahit,pct,first_hit_s,last_hit_s,mean_accel_msd,mean_gyro_msd,gyro_magnitude_median
1,1,stationary,299,3.205679e-05,0.0,0,0.0,,,8.577041806020066e-07,5.173351794280936e-05,1.416
2,2,stationary,300,3.205679e-05,0.0,0,0.0,,,3.2056716666666666e-07,6.418890244e-05,1.428
3,3,stationary,298,3.205679e-05,0.0,0,0.0,,,1.2908737583892617e-06,6.7097344852349e-05,1.429
4,4,stationary,298,0.0001282267,0.0,0,0.0,,,1.9363128187919463e-06,7.133336045973154e-05,1.43
5,5,stationary,299,6.411346e-05,0.0,0,0.0,,,1.500983076923077e-06,7.312821241137123e-05,1.434
6,6,walking-slowly,300,0.07090961,0.02303596350000001,0,0.0,,,0.004622801583533334,1.829588856796667,7.6975
7,7,walking-slowly,299,0.1177446,0.01357282499999993,0,0.0,,,0.003233020841304348,1.348543165541806,7.173
8,8,walking-slowly,300,0.1378763,0.010932963,0,0.0,,,0.003039838709466667,1.3539016814166664,5.699
9,9,walking-slowly,300,0.02394639,0.008543133250000003,0,0.0,,,0.0024460399576999997,0.9619913698733334,5.7155000000000005
10,10,walking-slowly,300,0.01907375,0.009169837300000008,0,0.0,,,0.0022951580758000002,0.8900472588233334,5.1185
11,11,walking-normally,299,0.08959877,0.033800633999999954,0,0.0,,,0.00919022260361204,6.0855619214046826,11.888
12,12,walking-normally,298,0.2004831,0.10709532499999991,0,0.0,,,0.037988159697315435,26.427014479865772,21.2915
13,13,walking-normally,298,0.2715211,0.12510491499999998,0,0.0,,,0.045415872956375836,21.675325597315435,23.834
14,14,walking-normally,298,0.1181293,0.05947335699999999,0,0.0,,,0.01808831419422819,10.806617704697986,14.341000000000001
15,15,walking-normally,299,0.07773773,0.047835106999999974,0,0.0,,,0.014952402212876257,9.440603170568563,14.338
16,16,walking-quickly,298,0.523263,0.17524337999999978,0,0.0,,,0.06406732416040269,55.72534803020134,21.466
17,17,walking-quickly,298,0.2709761,0.15651249,0,0.0,,,0.055788394044630873,56.15522406040269,24.7565
18,18,walking-quickly,297,0.2421251,0.13913293999999998,0,0.0,,,0.05019705289057239,75.03990390202019,25.349
19,19,walking-quickly,298,0.1640668,0.09674742149999996,0,0.0,,,0.038362185334496646,55.0398129295302,21.3235
20,20,walking-quickly,298,0.3099891,0.12481803999999998,0,0.0,,,0.04677882731140939,58.95495569781878,25.025
21,21,walking-normally-fall,299,15.2683,0.6871824799999993,5,1.6722408026755853,12.03,13.138,0.22576753433662208,44.062325990753045,2.096
22,22,walking-normally-fall,299,14.66166,0.7653365799999987,5,1.6722408026755853,14.087,14.996,0.22220280970558526,68.45028558686307,8.588
23,23,walking-normally-fall,299,34.90876,0.38511751999999866,6,2.0066889632107023,12.287,12.789,0.37670228900521735,75.66230906632155,2.024
24,24,walking-normally-fall,299,27.40968,0.2248045299999988,6,2.0066889632107023,13.8,14.302,0.3256328865415719,64.113781679075,4.858
25,25,walking-normally-fall,299,27.63581,0.29292238999999776,6,2.0066889632107023,13.697,14.199,0.3181108094590969,80.91083201557696,4.207
26,26,walking-quickly-fall,299,27.11107,0.4115418999999964,5,1.6722408026755853,13.816,14.32,0.3828599775456522,86.52377562309373,5.945
27,27,walking-quickly-fall,300,26.20495,0.24902200000000005,5,1.6666666666666667,17.491,17.895,0.33163036954793335,66.5074100820673,12.7675
28,28,walking-quickly-fall,299,28.42312,0.5143734999999994,6,2.0066889632107023,12.759,13.264,0.3617927737390636,91.39202702426724,5.27
29,29,walking-quickly-fall,300,21.26064,0.67773185,5,1.6666666666666667,19.468,19.872,0.3617825860384667,108.31637093092618,20.868000000000002
30,30,walking-quickly-fall,299,30.60452,0.33056021999999924,4,1.3377926421404682,18.736,19.14,0.30560703829625413,73.46969878948096,15.327
31,31,walking-near-fall,299,16.60523,0.45469038999999917,4,1.3377926421404682,11.804,12.207,0.2237965205370234,79.32193947762542,17.215
32,32,walking-near-fall,299,12.11497,1.3809806999999816,5,1.6722408026755853,15.391,17.006,0.2749664498572909,62.75530095852842,13.315
33,33,walking-near-fall,299,18.37245,0.31418222999999784,3,1.0033444816053512,14.126,14.429,0.2633729204587291,71.27432864147157,22.403
34,34,walking-near-fall,299,13.66434,0.2458144599999984,5,1.6722408026755853,10.484,11.087,0.25846300246421405,62.87691303010034,15.237
35,35,walking-near-fall,299,31.89411,1.7208923999999914,10,3.3444816053511706,14.927,16.738,0.5650161406887959,118.73313458742474,19.07
36,38,walking-very-quickly,300,10.19316,5.7757087500000015,29,9.666666666666666,6.249,29.99,2.2417877677966667,492.8743408196666,35.04
37,39,walking-very-quickly,299,11.16698,7.529034099999997,55,18.394648829431436,9.38,29.882,2.6171542212541805,643.7641011036789,38.217
38,41,walking-very-quickly,300,16.09536,5.83385435,27,9.0,3.327,29.935,2.0610779280766667,466.60342186866666,34.248999999999995
39,42,walking-very-quickly,300,8.068856,5.584825100000001,37,12.333333333333334,4.334,30.123,2.2905270096799994,543.6738462599999,36.8305
40,43,walking-very-quickly,300,8.452382,5.753199050000001,39,13.0,7.362,30.075,2.399913653973333,513.4564131033334,39.177
