session_id,level,samples_in_timing_analysis,accel_magnitude_mps2_max,accel_magnitude_mps2_min,accel_magnitude_mps2_mean,accel_magnitude_mps2_peak_s,gyro_magnitude_dps_max,gyro_magnitude_dps_min,gyro_magnitude_dps_mean,gyro_magnitude_dps_peak_s,accel_msd_max,accel_msd_min,accel_msd_mean,accel_msd_peak_s,gyro_msd_max,gyro_msd_min,gyro_msd_mean,gyro_msd_peak_s,accel_magnitude_slope_max,accel_magnitude_slope_min,accel_magnitude_slope_mean,accel_magnitude_slope_peak_s,accel_magnitude_slope_absolute_max,gyro_magnitude_slope_max,gyro_magnitude_slope_min,gyro_magnitude_slope_mean,gyro_magnitude_slope_peak_s,gyro_magnitude_slope_absolute_max,accel_msd_slope_max,accel_msd_slope_min,accel_msd_slope_mean,accel_msd_slope_peak_s,accel_msd_slope_absolute_max,gyro_msd_slope_max,gyro_msd_slope_min,gyro_msd_slope_mean,gyro_msd_slope_peak_s,gyro_msd_slope_absolute_max,first10s_accel_magnitude_mps2_mean,first10s_accel_magnitude_mps2_max,first10s_gyro_magnitude_dps_mean,first10s_gyro_magnitude_dps_max,first10s_accel_msd_mean,first10s_accel_msd_max,first10s_gyro_msd_mean,first10s_gyro_msd_max,last5s_accel_magnitude_mps2_mean,last5s_accel_magnitude_mps2_max,last5s_gyro_magnitude_dps_mean,last5s_gyro_magnitude_dps_max,last5s_accel_msd_mean,last5s_accel_msd_max,last5s_gyro_msd_mean,last5s_gyro_msd_max
11,3,299,10.275,9.643,9.961257525083612,23.164,28.591,0.825,11.871046822742475,28.991,0.08959877,3.205668e-05,0.00919022260361204,9.33,27.42775,0.1765221,6.0855619214046826,11.538,0.8748741,-1.39701,0.002448129381270897,11.838,1.39701,52.45438,-65.56662,0.3208384311705684,26.478,65.56662,0.164656,-0.152943,0.0003637231130434784,9.33,0.164656,55.65175,-67.72045,0.02445608036789322,11.538,67.72045,9.95334,10.142,11.39225,22.252,0.0089723727268,0.08959877,5.703183434000001,18.96642,9.96546,10.272,14.644099999999998,28.591,0.014633928106000003,0.05651613,8.913402592,23.8536
12,3,298,10.432,9.354,9.877221476510067,25.194,51.413,3.504,21.95901677852349,26.608,0.2004831,0.0004487936,0.037988159697315435,22.875,231.4556,0.1329621,26.427014479865772,17.232,1.444147,-2.658412,-0.003186749456375838,24.186,2.658412,81.63412,-113.1153,-0.1956825805369124,5.943,113.1153,0.4114573,-0.3443088,0.0005367567345637589,15.819,0.4114573,432.6216,-393.4405,-0.48074846409395855,17.232,432.6216,9.88883,10.308,19.81386,48.296,0.028125987601999997,0.1423322,22.048245597,202.0464,9.862520000000002,10.432,24.88026,51.413,0.055566599339999995,0.1886543,30.249742712000003,139.8242
13,3,298,10.621,9.213,9.829291946308725,3.326,52.873,4.188,23.87810067114094,3.427,0.2715211,0.001218157,0.045415872956375836,22.486,141.6034,0.539572,21.675325597315435,3.326,2.687653,-2.826846,0.004707013859060403,24.001,2.826846,85.47514,-104.1354,-0.3456567805369128,14.616,104.1354,0.5825449,-0.5429975,-0.00131684544295302,22.486,0.5825449,266.8186,-195.5608,-0.8465762449664428,3.326,266.8186,9.87003,10.621,23.21423,52.873,0.03230812008,0.1755754,20.917241699999995,141.6034,9.849779999999999,10.476,21.673000000000002,36.243,0.03620943792,0.1327151,21.013733379999998,54.14494
14,3,298,10.327,9.542,9.875939597315437,6.649,30.64,1.473,14.629785234899334,10.273,0.1181293,3.205668e-05,0.01808831419422819,22.873,33.74475,1.29039,10.806617704697986,15.415,1.643334,-1.905541,-0.0064953747516778544,15.818,1.905541,54.90884,-70.88044,0.4059630778523486,26.095,70.88044,0.2407468,-0.2676207,0.0014461815308724844,17.13,0.2676207,73.72954,-60.74067,0.05326375258389275,0.604,73.72954,9.88513,10.327,14.01856,28.631,0.0167887830358,0.07017226,10.338934590000001,27.2812,9.87134,10.264,13.9834,27.836,0.022164706857999997,0.09565746,10.11771832,26.26
15,3,299,10.3,9.546,9.897933110367893,19.631,29.231,1.092,14.080561872909698,17.518,0.07773773,9.617005e-05,0.014952402212876257,1.613,36.36151,1.35183,9.440603170568563,0.201,1.474772,-1.786611,-0.0038190642173913025,19.732,1.786611,64.58192,-58.4072,-0.04911626538461553,17.518,64.58192,0.1866559,-0.1739895,-0.00022270128762541733,6.343,0.1866559,60.87901,-133.3933,-1.0854319920735789,17.417,133.3933,9.86551,10.223,14.72437,27.93,0.014736194198999998,0.07773773,8.98392045,36.36151,9.9286,10.294,13.75146,23.834,0.01578604233,0.06058737,9.75074996,19.51627
16,4,298,10.609,9.319,9.968000000000002,2.02,44.33,2.718,20.894523489932883,4.945,0.523263,0.0003205668,0.06406732416040269,0.202,305.7007,2.801243,55.72534803020134,12.414,2.771016,-2.719082,0.001562263563422813,24.626,2.771016,87.19074,-92.62855,0.434001260738255,4.945,92.62855,1.128219,-1.02239,0.0007224909010067103,0.202,1.128219,576.4865,-610.719,0.8909181375838907,12.414,610.719,10.016979999999997,10.609,22.325169999999993,44.33,0.10031242187,0.523263,70.45803985,243.9912,9.947399999999998,10.583,21.87518,37.002,0.05086387195599999,0.2469014,50.64558405999999,163.8707
17,4,298,10.924,8.876,9.964087248322146,9.489,47.42,2.909,23.409177852348993,6.057,0.2709761,0.0005770203,0.055788394044630873,16.651,233.7346,3.562991,56.15522406040269,23.821,3.626784,-5.298243,-0.007679402046979858,10.8,5.298243,106.224,-99.51447,0.1991748629194629,6.057,106.224,0.3882362,-0.3792861,0.0006704291761744948,16.651,0.3882362,535.079,-586.1976,0.8399626033557047,23.821,586.1976,9.95608,10.924,22.45802,47.42,0.04134011620999999,0.2194611,48.476572899999994,155.4486,9.922059999999998,10.537,22.70398,36.334,0.050802962646000004,0.2485684,55.813654400000004,183.0668
18,4,297,10.656,9.398,9.96439393939394,25.328,63.264,2.799,25.44780134680135,28.964,0.2421251,0.0009617005,0.05019705289057239,28.257,556.7411,0.6801049,75.03990390202019,28.156,2.65227,-3.128263,-0.008000167979797985,28.459,3.128263,121.0528,-133.7954,1.5039449271717171,29.065,133.7954,0.4497474,-0.3762386,0.003621376813468012,0.605,0.4497474,1200.03,-1251.782,1.7600257707070706,29.469,1251.782,9.972529999999999,10.51,23.1369,39.393,0.045501420155,0.2234679,54.56877484900001,267.9048,9.92152,10.656,36.42836,63.264,0.07754537676,0.2421251,144.12734039999998,556.7411
19,4,298,10.365,9.414,9.929107382550335,10.293,48.629,2.666,20.514013422818792,25.325,0.1640668,3.205668e-05,0.038362185334496646,29.363,238.5464,2.41558,55.0398129295302,26.84,1.93999,-2.294864,-0.007558053687919457,2.118,2.294864,96.6793,-102.9813,-0.04753339395973181,25.426,102.9813,0.2818462,-0.2659764,0.001079539130872483,5.648,0.2818462,439.0203,-481.8669,1.3415478201342268,22.803,481.8669,9.93474,10.361,19.26276,36.471,0.044647736686799985,0.1297019,51.64460272999999,144.2609,9.88926,10.311,24.24512,48.629,0.03677939307999999,0.1640668,74.46352064,238.5464
20,4,298,10.444,9.208,9.88893288590604,28.356,45.466,3.716,23.5960033557047,0.804,0.3099891,0.0009296438,0.04677882731140939,29.264,334.1525,0.09903675,58.95495569781878,8.375,2.882075,-3.144842,-0.0015535987248322261,29.667,3.144842,109.4143,-87.86546,0.3814286721140936,0.804,109.4143,0.650086,-0.5390717,0.0007209207701342284,29.264,0.650086,656.1693,-697.7266,0.8278685201342291,8.375,697.7266,9.88814,10.379,25.182409999999994,45.466,0.037470546658,0.1643232,61.20605545949999,334.1525,9.845740000000001,10.444,22.789879999999997,40.825,0.06068544144000001,0.3099891,59.4591412,182.7487
