,accel_magnitude_mps2,gyro_magnitude_dps,accel_msd,gyro_msd,accel_magnitude_slope,gyro_magnitude_slope,accel_msd_slope,gyro_msd_slope
min,8.876,0.233,0.0,3.333248e-07,-5.298243,-133.7954,-1.02239,-1251.782
max,10.924,63.264,0.523263,556.7411,3.626784,121.0528,1.128219,1200.03
