session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
2,1,16,17,10,10.051999999999998,10.052,1.4187,1.435,0.0,0.0,6.41666547e-05,0.0001380001
2,1,17,18,10,10.051999999999998,10.052,1.4295000000000002,1.439,0.0,0.0,7.2066725e-05,0.0001636672
2,1,18,19,10,10.051999999999998,10.052,1.4338,1.453,0.0,0.0,7.7433523e-05,0.0001536668
2,1,19,20,10,10.051999999999998,10.052,1.4256,1.444,0.0,0.0,5.1033385000000004e-05,9.533302e-05
2,1,20,21,10,10.051999999999998,10.052,1.4315000000000002,1.449,0.0,0.0,4.5333199000000006e-05,0.0001366663
2,1,21,22,10,10.051999999999998,10.052,1.4263,1.444,0.0,0.0,6.313329630000002e-05,0.0001620008
2,1,22,23,10,10.051999999999998,10.052,1.4172999999999998,1.429,0.0,0.0,5.5866752500000005e-05,0.0001510003
2,1,23,24,10,10.051999999999998,10.052,1.4283,1.443,0.0,0.0,6.2366617e-05,0.0001263339
2,1,24,25,10,10.051999999999998,10.052,1.4195,1.432,3.205679e-06,3.205679e-05,5.679977700000001e-05,0.0001286666
2,1,25,26,10,10.051999999999998,10.052,1.4297999999999997,1.446,0.0,0.0,8.466670850000001e-05,0.0001656664
2,1,26,27,10,10.051999999999998,10.052,1.4308,1.448,0.0,0.0,6.913332999999999e-05,0.0001339997
2,1,27,28,10,10.042,10.042,1.4342,1.445,3.205668e-06,3.205668e-05,7.099985899999999e-05,0.0001446672
2,1,28,29,10,10.042,10.042,1.4182000000000001,1.438,0.0,0.0,6.226657489999999e-05,0.0001830006
3,1,0,1,10,10.042,10.042,1.4118,1.43,6.411358e-06,3.205679e-05,5.9066598399999995e-05,0.0001899992
3,1,1,2,10,10.042,10.042,1.4309999999999998,1.444,0.0,0.0,6.5099916e-05,0.0001796672
3,1,2,3,10,10.042,10.042,1.4367,1.451,0.0,0.0,7.223326999999999e-05,0.0001936665
