session_id,level,activity,notes,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_min,accel_magnitude_mps2_max,accel_magnitude_mps2_peak_time_s,gyro_magnitude_dps_mean,gyro_magnitude_dps_min,gyro_magnitude_dps_max,gyro_magnitude_dps_peak_time_s,accel_msd_mean,accel_msd_min,accel_msd_max,accel_msd_peak_time_s,gyro_msd_mean,gyro_msd_min,gyro_msd_max,gyro_msd_peak_time_s,accel_magnitude_slope_mean,accel_magnitude_slope_min,accel_magnitude_slope_max,accel_magnitude_slope_peak_time_s,accel_magnitude_slope_absolute_max,gyro_magnitude_slope_mean,gyro_magnitude_slope_min,gyro_magnitude_slope_max,gyro_magnitude_slope_peak_time_s,gyro_magnitude_slope_absolute_max,accel_msd_slope_mean,accel_msd_slope_min,accel_msd_slope_max,accel_msd_slope_peak_time_s,accel_msd_slope_absolute_max,gyro_msd_slope_mean,gyro_msd_slope_min,gyro_msd_slope_max,gyro_msd_slope_peak_time_s,gyro_msd_slope_absolute_max,first_10s_accel_magnitude_mps2_mean,first_10s_gyro_magnitude_dps_mean,first_10s_accel_msd_mean,first_10s_gyro_msd_mean,20_to_30s_accel_magnitude_mps2_mean,20_to_30s_gyro_magnitude_dps_mean,20_to_30s_accel_msd_mean,20_to_30s_gyro_msd_mean,accel_msd_exceeds_previous_max_first_s,accel_msd_exceeds_previous_max_last_s,accel_msd_exceeds_previous_max_samples
11,3,walking-normally,Trial 11 (level 3): grandma walking normally,299,9.961257525083612,9.643,10.275,23.164,11.871046822742475,0.825,28.591,28.991,0.00919022260361204,3.205668e-05,0.08959877,9.33,6.0855619214046826,0.1765221,27.42775,11.538,0.002448129381270897,-1.39701,0.8748741,11.838,1.39701,0.3208384311705684,-65.56662,52.45438,26.478,65.56662,0.0003637231130434784,-0.152943,0.164656,9.33,0.164656,0.02445608036789322,-67.72045,55.65175,11.538,67.72045,9.95334,11.39225,0.0089723727268,5.703183434000001,9.959030303030305,13.385757575757575,0.011905053622222224,8.059834890909093,,,
12,3,walking-normally,Trial 12 (level 3): grandma walking normally,298,9.877221476510067,9.354,10.432,25.194,21.95901677852349,3.504,51.413,26.608,0.037988159697315435,0.0004487936,0.2004831,22.875,26.427014479865772,0.1329621,231.4556,17.232,-0.003186749456375838,-2.658412,1.444147,24.186,2.658412,-0.1956825805369124,-113.1153,81.63412,5.943,113.1153,0.0005367567345637589,-0.3443088,0.4114573,15.819,0.4114573,-0.48074846409395855,-393.4405,432.6216,17.232,432.6216,9.88883,19.81386,0.028125987601999997,22.048245597,9.866919191919191,23.899656565656564,0.05199741270707071,27.19807041919192,,,
13,3,walking-normally,Trial 13 (level 3): grandma walking normally,298,9.829291946308725,9.213,10.621,3.326,23.87810067114094,4.188,52.873,3.427,0.045415872956375836,0.001218157,0.2715211,22.486,21.675325597315435,0.539572,141.6034,3.326,0.004707013859060403,-2.826846,2.687653,24.001,2.826846,-0.3456567805369128,-104.1354,85.47514,14.616,104.1354,-0.00131684544295302,-0.5429975,0.5825449,22.486,0.5825449,-0.8465762449664428,-195.5608,266.8186,3.326,266.8186,9.87003,23.21423,0.03230812008,20.917241699999995,9.811545454545456,22.557858585858586,0.04341591442424243,20.392373989898992,,,
14,3,walking-normally,Trial 14 (level 3): grandma walking normally,298,9.875939597315437,9.542,10.327,6.649,14.629785234899334,1.473,30.64,10.273,0.01808831419422819,3.205668e-05,0.1181293,22.873,10.806617704697986,1.29039,33.74475,15.415,-0.0064953747516778544,-1.905541,1.643334,15.818,1.905541,0.4059630778523486,-70.88044,54.90884,26.095,70.88044,0.0014461815308724844,-0.2676207,0.2407468,17.13,0.2676207,0.05326375258389275,-60.74067,73.72954,0.604,73.72954,9.88513,14.01856,0.0167887830358,10.338934590000001,9.884878787878787,14.218303030303032,0.018295685189898988,10.247522787878788,,,
15,3,walking-normally,Trial 15 (level 3): grandma walking normally,299,9.897933110367893,9.546,10.3,19.631,14.080561872909698,1.092,29.231,17.518,0.014952402212876257,9.617005e-05,0.07773773,1.613,9.440603170568563,1.35183,36.36151,0.201,-0.0038190642173913025,-1.786611,1.474772,19.732,1.786611,-0.04911626538461553,-58.4072,64.58192,17.518,64.58192,-0.00022270128762541733,-0.1739895,0.1866559,6.343,0.1866559,-1.0854319920735789,-133.3933,60.87901,17.417,133.3933,9.86551,14.72437,0.014736194198999998,8.98392045,9.906889999999999,13.474039999999997,0.0147890785705,9.624384730000001,,,
16,4,walking-quickly,Trial 16 (level 4): grandma walking quickly,298,9.968000000000002,9.319,10.609,2.02,20.894523489932883,2.718,44.33,4.945,0.06406732416040269,0.0003205668,0.523263,0.202,55.72534803020134,2.801243,305.7007,12.414,0.001562263563422813,-2.719082,2.771016,24.626,2.771016,0.434001260738255,-92.62855,87.19074,4.945,92.62855,0.0007224909010067103,-1.02239,1.128219,0.202,1.128219,0.8909181375838907,-610.719,576.4865,12.414,610.719,10.016979999999997,22.325169999999993,0.10031242187,70.45803985,9.937979797979798,21.34830303030303,0.04951413901818182,51.246723232323234,,,
17,4,walking-quickly,Trial 17 (level 4): grandma walking quickly,298,9.964087248322146,8.876,10.924,9.489,23.409177852348993,2.909,47.42,6.057,0.055788394044630873,0.0005770203,0.2709761,16.651,56.15522406040269,3.562991,233.7346,23.821,-0.007679402046979858,-5.298243,3.626784,10.8,5.298243,0.1991748629194629,-99.51447,106.224,6.057,106.224,0.0006704291761744948,-0.3792861,0.3882362,16.651,0.3882362,0.8399626033557047,-586.1976,535.079,23.821,586.1976,9.95608,22.45802,0.04134011620999999,48.476572899999994,9.933373737373739,24.31243434343434,0.06047400051818183,60.97516378787879,,,
18,4,walking-quickly,Trial 18 (level 4): grandma walking quickly,297,9.96439393939394,9.398,10.656,25.328,25.44780134680135,2.799,63.264,28.964,0.05019705289057239,0.0009617005,0.2421251,28.257,75.03990390202019,0.6801049,556.7411,28.156,-0.008000167979797985,-3.128263,2.65227,28.459,3.128263,1.5039449271717171,-133.7954,121.0528,29.065,133.7954,0.003621376813468012,-0.3762386,0.4497474,0.605,0.4497474,1.7600257707070706,-1251.782,1200.03,29.469,1251.782,9.972529999999999,23.1369,0.045501420155,54.56877484900001,9.954091836734694,29.799020408163265,0.05699370252040816,106.85092210204081,,,
19,4,walking-quickly,Trial 19 (level 4): grandma walking quickly,298,9.929107382550335,9.414,10.365,10.293,20.514013422818792,2.666,48.629,25.325,0.038362185334496646,3.205668e-05,0.1640668,29.363,55.0398129295302,2.41558,238.5464,26.84,-0.007558053687919457,-2.294864,1.93999,2.118,2.294864,-0.04753339395973181,-102.9813,96.6793,25.426,102.9813,0.001079539130872483,-0.2659764,0.2818462,5.648,0.2818462,1.3415478201342268,-481.8669,439.0203,22.803,481.8669,9.93474,19.26276,0.044647736686799985,51.64460272999999,9.896424242424242,22.753,0.03631969205050505,63.062821949494946,,,
20,4,walking-quickly,Trial 20 (level 4): grandma walking quickly,298,9.88893288590604,9.208,10.444,28.356,23.5960033557047,3.716,45.466,0.804,0.04677882731140939,0.0009296438,0.3099891,29.264,58.95495569781878,0.09903675,334.1525,8.375,-0.0015535987248322261,-3.144842,2.882075,29.667,3.144842,0.3814286721140936,-87.86546,109.4143,0.804,109.4143,0.0007209207701342284,-0.5390717,0.650086,29.264,0.650086,0.8278685201342291,-697.7266,656.1693,8.375,697.7266,9.88814,25.182409999999994,0.037470546658,61.20605545949999,9.87469696969697,22.646212121212123,0.055324847767676766,58.90571232323232,,,
21,5,walking-normally-fall,Trial 21 (level 5) : grandma walks normally then falls. stays stationary after,299,9.819732441471572,4.678,12.306,12.13,8.279568561872908,0.791,72.25,12.332,0.22576753433662208,0.0,15.2683,12.332,44.062325990753045,5.666719e-06,1970.943,12.836,0.004776143576561846,-16.00047,13.83333,13.339,16.00047,-0.32010274119983284,-61.01661,191.7139,12.03,191.7139,8.612366150664823e-05,-21.43037,19.31438,12.332,21.43037,-0.16161801833658862,-3882.004,3294.752,12.231,3882.004,9.8783,10.013790000000002,0.010329018629,5.125897966,10.034727272727272,1.4369191919191922,6.47610808080808e-07,7.138722485858587e-05,11.828,14.045,16.0
22,5,walking-normally-fall,Trial 22 (level 5) : grandma walks normally then falls. stays stationary after,299,9.878214046822743,6.141,13.509,14.188,14.073147157190636,1.41,186.343,14.39,0.22220280970558526,0.0,14.66166,14.996,68.45028558686307,8.999987e-06,3087.071,14.289,0.0071975341030100035,-16.92833,13.8963,15.198,16.92833,-0.6598855700712379,-341.0914,367.9531,14.39,367.9531,-0.00024522432326789,-30.05651,28.22274,14.996,30.05651,-0.2260917247791519,-7242.603,7721.391,14.289,7721.391,9.944979999999997,14.782639999999999,0.016444815172999998,9.9701436848,10.044717171717169,1.4449393939393942,2.26663595959596e-06,7.788891976767677e-05,14.087,17.419,19.0
23,5,walking-normally-fall,Trial 23 (level 5) : grandma walks normally then falls. stays stationary after,299,9.97643143812709,5.016,16.509,12.287,10.782916387959867,1.417,151.052,12.387,0.37670228900521735,0.0,34.90876,12.487,75.66230906632155,2.033343e-05,7356.093,12.588,0.0059522269051505,-17.55744,15.1884,12.89,17.55744,-0.3988094051615383,-218.429,315.8036,12.487,315.8036,-0.001178084976404012,-70.84189,80.85602,12.487,80.85602,-0.38896571731358115,-14057.13,13107.07,12.387,14057.13,9.973740000000001,15.312640000000002,0.019629974113000003,11.093708203,10.040636363636365,1.4493434343434342,4.209468373737374e-05,0.00010796296767676769,12.085,13.594,14.0
24,5,walking-normally-fall,Trial 24 (level 5) : grandma walks normally then falls. stays stationary after,299,9.922628762541805,5.437,15.433,13.9,11.262451505016722,1.421,117.677,14.705,0.3256328865415719,0.0,27.40968,14.0,64.113781679075,5.333355e-06,5061.845,14.604,-0.0013144373689966326,-24.08908,12.98207,13.9,24.08908,-0.24745216079230792,-196.0259,150.3637,14.705,196.0259,-0.000266802520694764,-62.93709,63.60534,14.0,63.60534,0.07547583150817232,-10194.91,6251.952,13.9,10194.91,9.98922,15.496280000000002,0.024756497252999995,10.698738274,10.042939393939395,1.4503939393939393,1.554268383838384e-05,0.0001630437250505051,13.699,14.907,12.0
25,5,walking-normally-fall,Trial 25 (level 5) : grandma walks normally then falls. stays stationary after,299,9.98479264214047,6.305,15.356,13.798,11.238785953177258,1.43,119.288,13.898,0.3181108094590969,0.0,27.63581,13.998,80.91083201557696,8.000191e-06,6818.385,14.499,0.009229311872509373,-14.26138,15.19947,14.399,15.19947,-0.5764136568421405,-122.2736,207.8928,13.898,207.8928,-0.002081639424107857,-59.52168,69.23879,13.998,69.23879,-0.5320996906033008,-13441.92,8006.166,13.898,13441.92,9.93699,15.47332,0.025913751374,10.3596780149,10.037353535353535,1.4581818181818182,5.5046998989899e-06,0.00012469701192929295,13.697,14.801,11.0
